HHID,TRIPDIST,TRIPSPD,TRIPDUR
108242,2.66,17.01375,534.1428571
108244,4.19952381,19.27095238,886
108251,3.896666667,22.7725,516.2727273
108277,8.910588235,24.63029412,754.7575758
108278,3.954375,18.055,759.2
108279,7.1925,28.2415,792.4210526
108290,8.823461538,28.33,998.6666667
108291,1.123888889,2.958333333,1406.764706
108306,4.191111111,21.50444444,657.7777778
108348,4.813103448,18.84931034,627.72
108360,4.199767442,17.84069767,713.3658537
108362,6.660307692,29.19461538,720.0634921
108370,5.506808511,21.79617021,862.4301075
108403,1.037887324,13.18647887,257.115942
108404,11.82942857,26.16885714,976.3870968
108420,5.546923077,23.95538462,701.8333333
108424,6.931428571,26.90761905,879.8
108438,5.643823529,24.12970588,718.7878788
108463,8.618333333,32.64833333,768.75
108465,5.155,17.933,734.125
108468,8.0525,32.16931818,814.9268293
108472,4.6825,20.48625,798.2857143
108473,2.466333333,21.31633333,347.2666667
108488,3.91,19.65742857,629.6285714
108497,4.984848485,22.08272727,774.5806452
108498,5.970645161,17.32612903,1191.25
108502,4.934666667,24.2416,640.5972222
108505,2.272173913,9.274782609,725.7894737
108517,6.932222222,21.49611111,861.8823529
108519,2.806216216,17.15972973,467.2647059
108522,5.639354839,25.79322581,698.9354839
108528,5.697666667,21.29066667,900.8076923
108531,3.982,25.0264,458.7826087
108556,7.496129032,26.27193548,913.0344828
108558,32.523125,31.5925,2785.933333
108563,5.837912088,23.98406593,669.5340909
108567,5.498,29.03966667,647.1333333
108584,6.387741935,23.87,652.9677419
108585,2.88,16.86618182,555.3636364
108587,5.303265306,25.01806122,640.4680851
108603,3.201851852,20.40425926,466.94
108604,5.436666667,23.40444444,759.375
108605,7.312115385,26.68403846,791.64
108613,5.467142857,26.27071429,559.5384615
108615,1.340740741,15.63925926,289.6538462
108628,0.901176471,15.51117647,202.4666667
108664,3.754761905,20.20642857,531.1707317
108673,3.337560976,20.19804878,494.3291139
108681,4.854285714,23.53142857,656.25
108682,4.126153846,15.65307692,748.9090909
108684,7.995,29.42291667,774.875
108689,3.862727273,21.65409091,574.3809524
108694,5.368571429,23.54857143,775.6666667
108714,7.795,25.91363636,900.8095238
108725,4.804615385,20.63846154,816.5833333
108729,5.652,24.035,763.5555556
108744,5.749166667,22.11875,773.2857143
108751,2.514375,20.5725,480.375
108754,7.965217391,26.85695652,802.7826087
108759,5.669512195,21.26902439,682.6153846
108780,10.89043478,31.32478261,1015.652174
108797,6.319090909,24.31181818,831.5666667
108805,8.910526316,25.06342105,986.2571429
108806,4.2990625,17.1028125,620.483871
108839,2.807592593,17.92481481,452.8301887
108856,9.384,27.92428571,1116.666667
108866,2.303333333,21.31333333,406
108878,7.672439024,24.86121951,847.6756757
108879,3.07125,18.510625,481.0322581
108888,1.196666667,12.5775,281.3
108903,1.33,10.76714286,471.75
108905,8.975416667,29.16541667,978.8695652
108907,8.7436,27.4468,962.2978723
108917,7.148461538,26.22025641,813.2941176
108921,3.713666667,19.51933333,631.4333333
108929,7.776444444,27.52666667,839.2093023
108950,6.576756757,26.59094595,820.3478261
108976,7.105949367,24.48455696,1029.36
109017,2.69875,19.71375,438.1333333
109053,1.922307692,16.24076923,427.1666667
109077,4.088,30.06266667,493.1428571
109105,2.992222222,18.67148148,467.0943396
109109,2.665897436,12.91948718,708.2820513
109128,3.251578947,13.92578947,607
109131,3.583333333,16.25111111,652.3333333
109132,7.485238095,29.4052381,742.6666667
109133,4.98625,20.1105,675.8421053
109142,2.701363636,19.21909091,438.8181818
109154,0.829,13.463,228.4444444
109162,1.381481481,15.41296296,300.5384615
109165,1.443666667,3.812,1832.466667
109174,5.7190625,21.0121875,773.5806452
109181,4.963953488,23.36581395,718.2093023
109184,3.874583333,20.33708333,639.8095238
109195,4.625714286,20.84,984.7692308
109202,2.5828125,13.7959375,753.7068966
109225,7.092727273,27.70727273,833.2
109252,8.315,30.8675,861.25
109269,0.801538462,4.432307692,860.8461538
109298,10.30111111,25.72444444,1207.125
109365,3.835,25.585,513.75
109385,9.291052632,23.01868421,1139.736842
109402,18.24714286,29.72428571,1300.230769
109404,2.093333333,17.3825,619.1818182
109415,9.029230769,30.07846154,962.75
109466,109.1214286,55.64142857,5891.285714
109470,6.160714286,24.55357143,714.1111111
109496,1.662619048,17.5197619,319.7073171
109499,2.466,18.448,763.4444444
109501,4.241636364,24.78218182,596.6909091
109506,2.676944444,21.215,408.6857143
109515,3.410877193,20.9254386,505.5660377
109523,9.154090909,23.05318182,939.8333333
109524,5.748461538,22.83538462,802.3846154
109545,2.32826087,14.0973913,509.5789474
109547,5.28,25.09866667,663.5
109551,4.025909091,25.79590909,531.75
109559,5.645555556,28.48488889,716.4318182
109574,3.436341463,18.25878049,571.8717949
109600,1.916315789,16.29868421,345.15625
109607,2.777166667,15.22466667,605.6326531
109613,8.237457627,24.23711864,1001.537037
109627,10.41083333,25.44916667,1300.727273
109633,10.67333333,28.59444444,1057.125
109672,2.8355,11.6325,538.8571429
109688,2.965454545,20.96272727,500.7
109691,13.02829268,28.42292683,1348.95
109692,4.332083333,17.06458333,537.3636364
109708,2.178913043,17.54869565,334.3157895
109720,3.369019608,16.8245098,629.8478261
109728,0.7225,2.035,872.5
109732,2.993076923,15.4,651.4166667
109736,3.905128205,24.37538462,531.6451613
109740,5.85244186,26.46802326,682.8192771
109744,5.995,22.13625,734.2
109750,7.580588235,20.45117647,955.2647059
109755,8.194266667,24.5252,1087.153846
109782,8.975652174,25.32369565,853.1777778
109789,0.4975,9.110625,242.9285714
109796,12.15956522,20.84065217,1137.608696
109800,4.523,15.832,1116.555556
109818,4.0695,20.9165,681.6315789
109828,16.42210526,28.38513158,1381.891892
109833,8.492162162,18.98702703,1037.694444
109834,8.852916667,28.03145833,915.7826087
109841,4.80625,17.4353125,815.2666667
109860,4.2425,23.17166667,578.625
109877,1.764090909,12.38227273,530.4545455
109908,5.389,19.0712,849.4468085
109929,2.016129032,17.37064516,400.8387097
109955,7.0235,23.5214,828.8210526
109961,6.000714286,17.71714286,815.4615385
109967,5.301666667,20.35333333,667.5555556
109977,2.205588235,17.73117647,401.5
109979,3.5,18.5521875,547.2
109985,4.00375,18.97125,682.1428571
109993,3.774285714,19.52571429,681.3076923
110014,6.543658537,26.19146341,828.3157895
110027,6.968571429,23.57214286,877.8333333
110034,4.512888889,18.37111111,732
110039,5.689259259,27.63703704,682.5769231
110041,10.95555556,24.41333333,1589.714286
110055,9.424444444,28.97555556,853.375
110088,2.43375,17.4409375,404.4666667
110092,16.64731707,26.42463415,1793.263158
110104,27.842,33.9596,2044
110123,3.779638554,20.59493976,600.15
110126,4.914285714,24.63214286,671.3333333
110128,9.065,25.55142857,933.2857143
110129,2.4075,18.18583333,402.8181818
110140,25.51646154,34.03584615,1668.354839
110151,3.009861111,19.86152778,651.4925373
110161,4.3365625,22.530625,632.6774194
110167,5.508571429,25.2897619,766.8717949
110168,2.371851852,13.79351852,577.86
110169,1.697586207,12.9,426.4285714
110170,1.444,7.8468,695.2941176
110181,3.99173913,19.37652174,552.1304348
110185,0.98375,11.58553571,261.5102041
110192,20.41444444,33.66333333,2195.555556
110195,0.361428571,10.47428571,133.8333333
110206,4.832916667,17.15604167,844.8863636
110214,4.229807692,19.36403846,644.7916667
110217,2.04,17.45375,412.4285714
110231,14.01615385,34.03153846,1260.538462
110233,3.345405405,21.43,566.6388889
110235,1.720555556,9.767777778,575.5294118
110240,9.505454545,25.0625974,1123.630137
110265,4.196923077,17.67153846,850.7777778
110269,2.142777778,7.183333333,1706.944444
110277,10.90529412,29.07058824,1092.75
110285,7.263846154,22.82153846,996.0909091
110288,2.8244,15.3572,528.9545455
110291,2.307142857,13.97142857,572.8333333
110294,4.223921569,18.93882353,627.1
110297,0.4345,6.9725,476.1578947
110298,14.58416667,32.51833333,1566.727273
110300,7.691,23.103,1019
110308,4.3316,21.0692,684.4545455
110309,8.318181818,28.09727273,824.6666667
110322,8.0775,23.79833333,1149.545455
110327,6.336363636,26.05272727,824.4
110331,4.127142857,19.87535714,700.8928571
110335,9.81,21.25166667,1190.5
110337,8.330769231,24.26692308,1138.666667
110355,8.770869565,33.68347826,742.2173913
110356,1.204,9.093333333,521.6666667
110361,1.622857143,14.92142857,342.4
110365,6.5504,16.5924,946.7391304
110367,7.606666667,30.21235294,765.2291667
110369,6.447761194,18.44686567,873.3275862
110376,13.39653846,28.21807692,1245.923077
110379,7.471034483,28.74689655,776.8214286
110381,4.9796875,17.3403125,773.2580645
110384,4.142888889,19.67222222,644.925
110401,1.450769231,11.69461538,343.3636364
110402,9.076153846,17.51846154,1243.083333
