HHID,AvgTRIPDIST,AvgTRIPSPD,AvgTRIPDUR(S)
111390,4.53,24.85,545.37
111392,2.97,20.03,474.93
111396,6.23,25.53,723.21
111421,4.95,22.68,780.29
111459,2.46,15.09,541.91
111470,0.70,9.99,297.00
111497,4.52,25.47,647.71
111498,6.04,23.90,801.04
111501,13.42,33.74,1346.60
111502,1.10,11.53,374.20
111509,3.25,15.81,794.27
111517,9.79,24.89,1302.38
111536,2.22,19.70,337.97
111552,6.33,37.64,516.29
111558,3.53,24.34,536.15
111561,1.93,15.28,449.00
111564,5.11,25.42,705.42
111572,12.26,33.54,1060.84
111574,12.67,32.96,1097.97
111576,4.09,21.96,593.11
111577,14.42,26.66,1381.46
111609,4.71,22.74,662.88
111612,5.62,22.52,753.50
111624,3.59,23.06,502.08
111627,8.42,28.45,853.08
111630,7.18,30.10,688.79
111659,4.98,24.89,677.00
111715,5.59,30.05,643.81
111722,6.30,27.00,771.38
111725,1.20,14.16,298.13
111738,6.03,28.04,667.69
111747,11.06,32.44,1053.33
111799,2.91,18.21,520.68
111810,1.61,19.28,304.29
111816,6.97,31.27,696.50
111823,8.52,34.23,774.29
111841,3.70,21.67,500.14
111850,4.37,23.18,598.11
111852,0.61,21.41,104.00
111863,13.10,32.20,1179.73
111864,2.06,22.02,357.38
111873,10.38,33.97,926.88
111905,4.32,18.80,717.50
111908,9.01,29.64,976.95
111914,0.78,14.48,195.25
111929,9.97,33.37,839.08
111937,8.32,35.17,839.14
111950,2.91,20.55,427.00
111951,5.02,24.28,640.95
111957,3.25,18.75,637.40
111958,4.24,17.77,809.50
111966,5.45,26.83,664.74
111969,1.33,25.23,233.78
111972,4.66,26.03,524.73
112006,10.69,29.26,989.95
112007,0.97,13.51,260.33
112024,5.80,30.98,608.00
112037,17.55,42.91,1255.55
112038,4.42,23.46,610.44
112054,6.14,31.83,638.00
112055,0.53,13.52,142.83
112072,13.18,28.34,1486.11
112088,15.98,27.93,1217.42
112090,2.65,18.81,527.48
112091,1.47,17.76,272.42
112106,1.11,12.49,325.50
112109,7.96,27.51,921.95
112126,4.10,20.20,721.70
112144,2.39,19.51,409.15
112153,5.05,26.82,624.65
112184,4.51,24.17,636.56
112188,4.63,21.94,554.10
112189,5.90,26.04,727.38
112193,4.12,22.31,684.79
112201,3.25,18.21,657.15
112205,10.42,29.86,1086.20
112221,6.32,31.17,570.86
112224,10.88,27.86,1380.10
112225,3.31,22.07,485.24
112232,6.98,26.44,853.38
112237,3.72,18.75,521.50
112242,23.87,44.89,1794.50
112270,5.23,25.33,608.93
112286,10.45,26.47,1153.46
112288,6.21,24.60,823.32
112291,19.67,40.20,1522.50
112293,1.10,16.28,235.33
112297,5.38,26.30,651.60
112305,6.49,27.28,798.00
112323,15.08,30.92,1612.14
112329,12.70,31.15,1265.95
112347,3.59,21.72,570.57
112355,11.01,27.50,1196.63
112365,5.88,34.06,659.82
112376,2.90,19.56,471.71
112378,4.81,23.61,641.53
112392,5.37,21.82,701.26
112401,16.52,30.96,3207.77
112405,6.50,29.82,754.42
112419,3.52,21.01,474.00
112420,3.72,20.38,754.57
112429,2.26,19.12,406.18
112441,6.20,23.05,773.07
112446,9.43,26.02,1087.00
112449,9.32,32.07,885.00
112457,6.12,23.05,946.25
112549,2.82,25.55,373.17
112560,13.46,34.00,1305.33
112568,5.18,21.31,678.79
112569,6.58,26.10,909.70
112580,5.54,24.68,802.45
112581,3.45,19.85,568.20
112587,1.35,13.98,301.58
112600,5.58,25.48,668.27
112657,11.58,32.20,1188.70
112723,1.45,12.26,397.59
112735,4.80,28.86,535.87
112768,10.84,33.71,905.00
112782,5.21,21.12,691.15
112802,5.94,27.00,774.07
112811,6.91,24.25,872.71
112816,11.68,34.02,957.00
112826,11.17,24.16,1315.06
112828,0.24,11.45,78.00
112830,6.62,25.25,766.00
112838,5.45,21.23,678.55
112873,8.10,29.58,835.10
112892,7.49,30.50,847.67
112902,2.36,15.73,522.30
112909,5.50,24.43,736.95
112920,5.95,24.84,874.72
112925,7.55,25.51,781.89
112933,4.11,21.04,571.77
112947,12.80,28.93,1567.75
112949,10.07,28.52,1287.70
112965,14.38,32.13,1267.92
112980,3.67,22.75,498.00
112985,9.83,26.27,1110.74
112992,4.57,21.24,746.17
112993,5.43,20.37,733.54
113004,7.75,22.97,952.29
113017,9.60,25.58,1073.11
113018,2.20,17.41,413.55
113020,2.94,16.39,741.06
113024,7.88,22.02,1089.17
113032,4.44,24.27,648.47
113039,2.07,18.72,380.17
113043,6.92,27.01,796.27
113057,4.77,22.70,726.33
113062,15.05,34.21,1166.71
113068,3.93,24.05,1323.75
113074,3.30,21.74,496.58
113077,1.96,21.12,382.75
113080,16.04,29.20,2309.43
113099,12.12,34.80,1156.33
113112,1.62,14.50,411.78
113118,16.54,22.20,2200.00
113120,0.96,15.53,220.63
113136,4.57,23.82,661.00
113139,18.38,32.63,1498.45
113165,1.48,18.09,283.13
113176,9.22,29.89,948.28
113187,4.00,21.75,647.14
113188,10.17,30.25,1113.53
113193,3.58,21.03,484.37
113194,3.16,16.51,591.59
113199,3.04,20.17,496.69
113207,6.46,24.30,761.50
113223,2.03,19.20,347.67
113226,3.65,19.53,614.94
113231,3.80,24.01,458.41
113232,10.88,34.49,1048.32
113243,6.25,26.74,798.57
113250,3.33,20.02,579.36
113251,3.11,21.22,461.78
113254,4.96,26.50,609.79
113261,13.21,32.98,1153.40
113263,2.59,24.18,362.62
113264,9.18,27.11,737.11
113269,3.05,15.57,579.25
113275,2.89,20.10,443.42
113278,13.67,33.68,1320.86
113280,7.72,27.76,942.45
113287,9.03,28.98,1023.86
113302,1.41,18.63,256.17
113303,7.75,23.39,1016.96
113304,12.11,32.17,972.68
113308,4.40,22.33,517.90
113312,7.56,27.89,695.77
113315,8.52,30.90,844.88
113322,6.03,24.80,731.65
113332,5.85,25.07,689.04
113334,4.17,22.39,632.40
113347,8.83,32.11,755.82
113348,13.13,35.41,1213.12
113349,4.99,25.67,565.58
113350,3.54,24.32,468.18
113351,2.00,17.20,411.74
113376,3.93,26.77,490.78
113382,4.54,23.98,607.78
113384,9.69,33.59,1010.04
113401,4.55,25.14,622.96
113429,4.07,21.58,636.58
113433,3.98,23.18,601.91
113435,7.89,21.54,946.36
113437,2.17,18.96,367.44
113438,0.42,16.41,84.50
113445,7.44,30.47,795.31
113450,6.35,27.84,686.53
113453,6.04,24.42,800.64
113455,12.69,39.99,878.57
113465,3.35,18.05,685.57
113470,3.69,23.18,507.54
113483,3.98,23.64,545.02
113494,10.15,27.88,987.04
113496,10.16,30.46,908.90
113498,4.22,23.31,579.65
113499,10.61,33.80,1128.50
113502,5.92,28.51,653.46
113515,9.05,28.35,914.60
113518,8.16,24.36,840.75
113519,3.26,19.93,528.31
113523,14.56,40.53,1435.58
113532,5.16,22.14,811.48
113539,12.99,25.65,1135.33
113559,1.18,18.15,233.00
113571,12.79,30.21,1299.64
113572,12.57,30.77,1424.38
113580,9.76,29.87,1016.71
113581,4.37,21.35,523.40
113582,4.48,17.41,743.20
113595,2.79,23.55,429.30
113616,5.06,23.97,717.61
113618,4.46,26.58,517.50
113630,8.12,27.74,985.14
113639,6.09,25.63,780.50
113647,24.14,44.36,1933.24
113655,5.97,31.58,586.86
113658,4.92,22.34,764.61
113661,2.80,19.95,454.44
113689,1.37,16.47,306.56
113697,8.66,22.49,1386.00
113701,4.30,25.69,507.19
113736,6.11,25.58,704.12
113746,7.59,23.49,926.56
113750,3.41,25.96,465.41
113752,5.37,28.62,602.28
113767,3.59,17.79,613.00
113770,8.54,29.36,867.40
113794,2.33,20.31,392.65
113798,6.79,26.94,739.38
113799,4.79,22.17,695.00
113815,5.49,27.80,639.41
113834,3.04,16.87,499.46
113840,6.71,27.84,767.42
113855,11.59,34.25,908.93
113870,9.41,28.12,1284.50
113879,4.48,20.22,661.64
113880,3.87,23.43,566.32
113886,4.34,19.35,741.67
113896,14.67,38.40,1360.50
113899,3.30,23.83,469.80
113901,2.59,18.49,515.86
113905,2.45,19.41,442.86
113911,13.68,37.80,1072.79
113917,6.44,27.81,685.21
113931,5.89,25.42,738.13
113932,3.78,23.12,525.88
113947,5.49,25.08,688.81
113948,5.62,32.55,539.34
113951,2.86,21.83,434.38
113957,5.65,24.72,684.80
113959,8.60,29.54,1017.56
113962,9.62,26.62,1059.88
113964,2.49,23.44,366.18
113969,3.25,22.91,444.77
113974,3.48,24.93,502.06
113994,16.78,36.39,1641.40
114085,1.33,13.91,439.70
114091,9.35,33.22,856.76
114097,5.40,22.83,680.64
114102,4.92,27.61,475.29
114127,4.01,18.83,580.50
114129,6.24,27.61,727.28
114154,9.97,31.15,1150.60
114155,14.28,33.48,1261.00
114163,4.66,29.16,342.83
114166,8.01,32.09,849.50
114168,5.43,21.09,815.75
114169,2.97,18.74,576.67
114200,5.04,26.24,606.47
114211,16.77,30.26,1289.27
114222,1.98,20.09,374.72
114225,3.58,21.26,582.41
114235,5.80,23.88,576.00
114237,9.82,30.99,901.61
114240,7.60,26.08,1058.82
114263,3.78,21.41,526.55
114268,11.42,25.78,1280.77
114272,1.50,19.65,268.18
114280,4.60,26.20,578.58
114285,8.55,31.24,957.75
114319,6.91,25.34,696.67
114326,2.75,22.08,350.32
114336,9.90,25.77,1289.40
114337,2.64,23.48,398.14
114341,3.51,23.42,458.28
114347,12.47,33.00,1378.40
114348,10.45,30.36,1129.75
114352,3.04,22.14,468.67
114354,10.20,27.41,894.35
114355,4.55,27.58,557.75
114362,3.73,22.78,528.21
114388,6.29,25.59,700.15
114410,9.62,31.04,1041.09
114411,6.63,24.79,877.00
114413,2.53,19.76,426.62
114417,10.12,31.25,1046.33
114424,10.78,27.72,1098.44
114427,2.88,15.88,680.25
114437,5.06,24.66,749.30
114443,11.38,28.25,983.23
114446,1.84,19.91,334.88
114453,12.26,36.59,1082.58
114456,5.57,21.41,519.70
114464,3.19,24.23,465.22
114480,5.21,25.78,656.67
114510,11.68,35.04,1179.67
114534,12.64,40.14,960.79
114600,1.03,15.76,251.43
114623,9.46,33.48,917.14
114625,8.79,34.68,807.38
114629,4.06,20.20,434.19
114634,6.58,29.27,735.29
114635,8.51,29.51,995.64
114638,33.39,51.45,2341.00
114661,3.26,21.80,554.35
114663,13.49,35.86,1293.18
114678,4.06,23.73,506.92
114682,2.42,21.85,386.08
114688,6.86,27.32,772.77
114692,3.77,25.19,478.00
114702,6.08,26.60,686.60
114708,2.90,19.19,460.86
114746,13.04,34.09,1097.76
114751,17.72,32.82,1732.50
114757,5.01,25.88,616.07
114769,7.00,28.73,791.33
114772,7.95,31.87,854.95
114776,5.98,26.76,719.42
114778,16.89,28.09,1355.62
114791,1.27,13.63,314.30
114820,5.98,28.41,674.73
114825,8.60,30.54,848.18
114834,9.49,30.55,1034.04
114836,9.41,28.53,1068.41
114838,6.22,24.81,690.03
114841,6.13,30.35,723.40
114842,2.00,20.08,347.32
114845,5.20,23.38,763.20
114847,8.40,31.26,783.60
114849,7.63,28.94,690.75
114854,4.90,34.73,487.93
114898,8.94,28.35,978.26
114907,10.93,27.23,1336.33
114919,2.90,22.21,457.25
114924,13.51,32.82,1508.43
114925,6.15,28.26,779.38
114929,1.80,10.63,608.00
114930,1.91,19.38,325.55
114934,3.94,19.99,573.82
114951,3.53,22.34,512.60
114957,3.23,23.51,488.67
114981,6.99,30.05,894.53
115025,5.31,22.22,720.24
115065,11.72,26.40,1112.97
115111,7.16,28.88,800.50
115124,11.69,28.85,1216.86
115146,8.46,30.65,853.45
115157,1.45,14.24,350.17
115158,1.70,16.75,366.25
115161,4.67,23.86,655.92
115177,10.86,35.47,942.95
115183,3.37,22.85,483.17
115185,14.12,42.44,1079.00
115187,7.77,26.77,795.39
115194,5.33,21.56,735.35
115206,4.23,19.67,757.00
115230,4.63,19.77,810.92
115245,5.87,24.70,783.50
115254,3.05,21.14,511.56
115255,5.03,23.78,713.86
115257,5.27,23.87,696.19
115289,6.49,25.52,668.31
115295,4.23,20.47,617.05
115298,7.30,31.94,749.96
115308,9.24,29.47,849.15
115311,9.38,32.44,907.59
115319,7.08,27.32,871.95
115321,5.21,17.62,1086.25
115330,4.19,14.80,1205.78
115351,5.08,23.18,661.50
115355,6.79,27.93,707.90
115385,8.29,26.27,882.36
115391,6.42,32.08,661.45
115402,5.70,23.66,682.13
115408,3.03,20.92,479.41
115414,11.35,35.36,1119.31
115428,13.95,30.74,961.62
115443,6.60,27.02,716.91
115452,8.28,30.82,837.10
115465,10.29,33.43,1111.00
115478,2.41,17.22,396.44
115480,3.05,18.88,516.72
115487,7.75,27.61,852.93
115488,7.59,30.63,732.64
115508,7.85,23.99,914.96
115576,4.77,25.04,473.68
115586,1.57,16.68,343.10
115595,12.26,36.62,1047.12
115649,1.69,14.35,396.54
115652,7.80,30.78,787.48
115655,5.61,26.28,711.97
115666,3.29,24.88,494.71
115667,13.65,27.12,1168.06
115668,4.20,20.59,759.29
115693,10.25,31.18,960.59
115709,3.60,21.11,731.18
115713,5.71,27.70,681.10
115739,13.07,29.58,1369.00
115740,12.54,33.92,1262.11
115754,6.02,20.56,754.46
115764,1.69,24.76,296.20
115791,13.98,27.16,1108.35
115793,2.65,16.50,517.83
115794,2.10,17.44,419.22
115798,6.15,29.47,615.00
115801,0.88,19.39,163.00
115803,12.85,27.33,1007.38
115805,1.00,18.01,194.11
115808,6.81,23.72,911.22
115812,56.55,43.66,3263.30
115813,4.21,22.43,653.35
115824,3.68,23.57,497.92
115830,8.15,22.99,1276.00
115843,3.46,24.48,496.20
115862,10.57,32.88,1016.62
115872,7.46,20.15,1312.36
115881,8.13,26.89,1051.93
115889,2.74,26.27,360.80
115894,9.10,24.21,1035.48
115895,9.74,28.48,926.36
115905,8.12,30.89,753.03
115917,4.93,23.46,610.19
115921,4.92,21.19,920.64
115936,7.95,23.35,944.85
115947,10.10,34.70,963.50
115962,5.59,33.04,567.94
115994,4.04,21.30,565.48
116016,7.37,25.55,886.73
116032,7.16,26.77,730.02
116041,2.71,22.66,425.46
116045,5.25,27.99,598.27
116053,2.33,17.98,487.14
116057,3.05,22.22,501.40
116076,4.42,30.26,509.50
116086,1.00,16.18,224.40
116087,5.63,21.48,816.13
116095,3.26,17.79,612.13
116107,8.49,30.85,908.56
116121,23.33,30.10,2661.13
116142,7.93,27.40,869.30
116152,4.17,23.30,623.71
116173,5.24,21.12,781.00
