ZONE,AT,HH,CarbonTon
613,2,1076.000000000000,3.394
614,2,860.000000000000,2.713
615,2,117.000000000000,0.369
616,2,116.000000000000,0.366
617,2,113.000000000000,0.356
618,2,989.000000000000,3.120
619,2,1420.000000000000,4.479
620,2,88.000000000000,0.278
621,2,40.000000000000,0.126
622,2,997.000000000000,3.145
623,2,592.000000000000,1.867
624,2,1406.000000000000,4.435
625,2,365.000000000000,1.151
626,2,382.000000000000,1.205
627,2,623.000000000000,1.965
628,2,1131.000000000000,3.568
629,2,930.000000000000,2.934
630,2,622.000000000000,1.962
631,2,352.000000000000,1.110
632,2,368.000000000000,1.161
633,2,273.000000000000,0.861
634,2,370.000000000000,1.167
635,2,735.000000000000,2.319
636,2,244.000000000000,0.770
637,2,1065.000000000000,3.360
638,2,137.000000000000,0.432
639,2,698.000000000000,2.202
640,2,1118.000000000000,3.527
641,2,1091.000000000000,3.442
642,2,775.000000000000,2.445
643,2,8.000000000000,0.025
644,2,17.000000000000,0.054
645,2,456.000000000000,1.438
646,3,800.000000000000,2.068
647,2,538.000000000000,1.697
648,3,361.000000000000,0.933
649,3,283.000000000000,0.732
650,3,452.000000000000,1.168
651,3,486.000000000000,1.256
652,2,948.000000000000,2.990
653,3,286.000000000000,0.739
654,3,340.000000000000,0.879
655,2,1422.000000000000,4.486
656,2,324.000000000000,1.022
657,1,580.000000000000,1.346
658,1,516.000000000000,1.197
659,2,384.000000000000,1.211
660,2,0.000000000000,0.000
661,2,389.000000000000,1.227
662,2,306.000000000000,0.965
663,2,738.000000000000,2.328
664,2,451.000000000000,1.423
665,2,75.000000000000,0.237
666,3,113.000000000000,0.292
667,3,617.000000000000,1.595
668,3,306.000000000000,0.791
669,2,426.000000000000,1.344
670,3,391.000000000000,1.011
671,3,236.000000000000,0.610
672,3,205.000000000000,0.530
673,3,1.000000000000,0.003
674,3,5.000000000000,0.013
675,3,320.000000000000,0.827
676,3,133.000000000000,0.344
677,3,209.000000000000,0.540
678,3,420.000000000000,1.086
679,3,845.000000000000,2.184
680,2,75.000000000000,0.237
681,2,35.000000000000,0.110
682,2,132.000000000000,0.416
683,3,300.000000000000,0.776
684,2,814.000000000000,2.568
685,2,694.000000000000,2.189
686,2,529.000000000000,1.669
687,2,642.000000000000,2.025
688,2,425.000000000000,1.341
689,2,25.000000000000,0.079
690,3,676.000000000000,1.748
1588,2,813.000000000000,2.565
1601,2,51.000000000000,0.161
1602,1,16.000000000000,0.037
