Longitude,Latitude,Speed(kilometer),Course(degrees),Number Of Satellites,HDOP,Altitude(meters),DD/MM/YY,HH:MM:SS,Distance(meters)
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:43,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:44,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:45,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:46,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:47,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:48,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:49,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:50,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:51,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:52,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:53,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:54,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:55,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:56,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:57,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:58,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:24:59,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:0,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:1,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:2,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:3,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:4,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:5,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:6,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:7,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:8,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:9,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:10,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:11,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:12,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:13,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:14,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:15,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:16,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:17,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:18,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:19,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:20,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:21,0
-084.471896,39.246466,0,14.00,8,1.10,189.00,23/8/2009,16:25:22,0
-084.472328,39.246633,2,314.00,3,3.68,201.00,24/8/2009,15:42:57,41
-084.472328,39.246631,0,314.00,3,3.68,201.00,24/8/2009,15:42:58,0
-084.472330,39.246628,0,312.00,3,3.67,201.00,24/8/2009,15:42:59,0
-084.472331,39.246628,0,312.00,3,3.67,201.00,24/8/2009,15:43:0,0
-084.472333,39.246628,0,310.00,3,3.67,201.00,24/8/2009,15:43:1,0
-084.472326,39.246623,0,310.00,3,3.67,201.00,24/8/2009,15:43:2,0
-084.472321,39.246621,0,310.00,3,3.67,201.00,24/8/2009,15:43:3,0
-084.472321,39.246621,0,310.00,3,3.68,201.00,24/8/2009,15:43:4,0
-084.472323,39.246618,0,310.00,4,4.21,201.00,24/8/2009,15:43:5,0
-084.472321,39.246616,0,310.00,4,1.80,201.00,24/8/2009,15:43:6,0
-084.472321,39.246616,0,310.00,4,4.21,201.00,24/8/2009,15:43:7,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:8,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:9,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:10,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:11,0
-084.472321,39.246616,0,310.00,4,4.21,201.00,24/8/2009,15:43:12,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:13,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:14,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:15,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:16,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:17,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:18,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:19,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:20,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:21,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:22,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:23,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:24,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:25,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:26,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:27,0
-084.472321,39.246616,0,310.00,4,4.21,201.00,24/8/2009,15:43:28,0
-084.472321,39.246616,0,310.00,4,4.21,201.00,24/8/2009,15:43:29,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:30,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:31,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:32,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:33,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:34,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:35,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:36,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:37,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:38,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:39,0
-084.472321,39.246616,0,310.00,4,4.22,201.00,24/8/2009,15:43:40,0
